ReviewID,Position,Reviewer,AssociatedWith,Country,Movie,Score
96,6,Nigel Andrews,Financial Times,UK,"6. Some Like It Hot (Billy Wilder, 1959)",5
97,7,Nigel Andrews,Financial Times,UK,"7. Sons of the Desert (William A Seiter, 1933)",4
98,8,Nigel Andrews,Financial Times,UK,"8. Team America: World Police (Trey Parker, 2004)",3
99,9,Nigel Andrews,Financial Times,UK,"9. This Is Spinal Tap (Rob Reiner, 1984)",2
100,10,Nigel Andrews,Financial Times,UK,"10. Groundhog Day (Harold Ramis, 1993)",1
101,1,Inacio Araujo,Folha de Sao Paulo,Brazil,"1. Seven Chances (Buster Keaton, 1925)",10
102,2,Inacio Araujo,Folha de Sao Paulo,Brazil,"2. The Immigrant (Charlie Chaplin, 1917)",9
103,3,Inacio Araujo,Folha de Sao Paulo,Brazil,"3. Mon oncle (Jacques Tati, 1958)",8
104,4,Inacio Araujo,Folha de Sao Paulo,Brazil,"4. Duck Soup (Leo McCarey, 1933)",7
105,5,Inacio Araujo,Folha de Sao Paulo,Brazil,"5. You Can’t Take It With You (Frank Capra, 1938)",6
106,6,Inacio Araujo,Folha de Sao Paulo,Brazil,"6. The Philadelphia Story (George Cukor, 1940)",5
107,7,Inacio Araujo,Folha de Sao Paulo,Brazil,"7. Bringing Up Baby (Howard Hawks, 1938)",4
108,8,Inacio Araujo,Folha de Sao Paulo,Brazil,"8. Sullivan’s Travels (Preston Sturges, 1941)",3
109,9,Inacio Araujo,Folha de Sao Paulo,Brazil,"9. Who’s Minding the Store? (Frank Tashlin, 1963)",2
110,10,Inacio Araujo,Folha de Sao Paulo,Brazil,"10. The Nutty Professor (Jerry Lewis, 1963)",1
111,1,Michael Arbeiter,Nerdist,USA,"1. Annie Hall (Woody Allen, 1977)",10
112,2,Michael Arbeiter,Nerdist,USA,"2. Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Stanley Kubrick, 1964)",9
113,3,Michael Arbeiter,Nerdist,USA,"3. Caddyshack (Harold Ramis, 1980)",8
114,4,Michael Arbeiter,Nerdist,USA,"4. Some Like It Hot (Billy Wilder, 1959)",7
115,5,Michael Arbeiter,Nerdist,USA,"5. The Grand Budapest Hotel (Wes Anderson, 2014)",6
116,6,Michael Arbeiter,Nerdist,USA,"6. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",5
117,7,Michael Arbeiter,Nerdist,USA,"7. South Park: Bigger, Longer & Uncut (Trey Parker, 1999)",4
118,8,Michael Arbeiter,Nerdist,USA,"8. The Producers (Mel Brooks, 1967)",3
119,9,Michael Arbeiter,Nerdist,USA,"9. The Cable Guy (Ben Stiller, 1996)",2
120,10,Michael Arbeiter,Nerdist,USA,"10. Wet Hot American Summer (David Wain, 2001)",1
121,1,Ali Arikan,Dipnot.tv,Turkey,"1. Withnail and I (Bruce Robinson, 1987)",10
122,2,Ali Arikan,Dipnot.tv,Turkey,"2. This Is Spinal Tap (Rob Reiner, 1984)",9
123,3,Ali Arikan,Dipnot.tv,Turkey,"3. Groundhog Day (Harold Ramis, 1993)",8
124,4,Ali Arikan,Dipnot.tv,Turkey,"4. In the Loop (Armando Iannucci, 2009)",7
125,5,Ali Arikan,Dipnot.tv,Turkey,"5. Some Like It Hot (Billy Wilder, 1959)",6
126,6,Ali Arikan,Dipnot.tv,Turkey,"6. Duck Soup (Leo McCarey, 1933)",5
127,7,Ali Arikan,Dipnot.tv,Turkey,"7. Zelig (Woody Allen, 1983)",4
128,8,Ali Arikan,Dipnot.tv,Turkey,"8. Top Secret! (Jim Abrahams, David Zucker and Jerry Zucker, 1984)",3
129,9,Ali Arikan,Dipnot.tv,Turkey,"9. South Park: Bigger, Longer & Uncut (Trey Parker, 1999)",2
130,10,Ali Arikan,Dipnot.tv,Turkey,"10. Animal House (John Landis, 1978)",1
131,1,Aygün Aslanova,Freelance,Azerbaijan,"1. The Phantom of Liberty (Luis Buñuel, 1974)",10
132,2,Aygün Aslanova,Freelance,Azerbaijan,"2. The Great Dictator (Charlie Chaplin, 1940)",9
133,3,Aygün Aslanova,Freelance,Azerbaijan,"3. The Exterminating Angel (Luis Buñuel, 1962)",8
134,4,Aygün Aslanova,Freelance,Azerbaijan,"4. Duck Soup (Leo McCarey, 1933)",7
135,5,Aygün Aslanova,Freelance,Azerbaijan,"5. The Firemen’s Ball (Miloš Forman, 1967)",6
136,6,Aygün Aslanova,Freelance,Azerbaijan,"6. City Lights (Charlie Chaplin, 1931)",5
137,7,Aygün Aslanova,Freelance,Azerbaijan,"7. Women on the Verge of a Nervous Breakdown (Pedro Almodóvar, 1988)",4
138,8,Aygün Aslanova,Freelance,Azerbaijan,"8. Achilles and the Tortoise (Takeshi Kitano, 2008)",3
139,9,Aygün Aslanova,Freelance,Azerbaijan,"9. The Idiots (Lars von Trier, 1998)",2
140,10,Aygün Aslanova,Freelance,Azerbaijan,"10. The Scoundrel (Vagif Mustafayev, 1988)",1
141,1,Nathalie Atkinson,Freelance,Canada,"1. Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Stanley Kubrick, 1964)",10
142,2,Nathalie Atkinson,Freelance,Canada,"2. Withnail and I (Bruce Robinson, 1987)",9
143,3,Nathalie Atkinson,Freelance,Canada,"3. The Women (George Cukor, 1939)",8
144,4,Nathalie Atkinson,Freelance,Canada,"4. Top Hat (Mark Sandrich, 1935)",7
145,5,Nathalie Atkinson,Freelance,Canada,"5. Sullivan’s Travels (Preston Sturges, 1941)",6
146,6,Nathalie Atkinson,Freelance,Canada,"6. The Bachelor and the Bobby-Soxer (Irving Reis, 1947)",5
147,7,Nathalie Atkinson,Freelance,Canada,"7. Metropolitan (Whit Stillman, 1990)",4
148,8,Nathalie Atkinson,Freelance,Canada,"8. Ninotchka (Ernst Lubitsch, 1939)",3
149,9,Nathalie Atkinson,Freelance,Canada,"9. The Boss of It All (Lars von Trier, 2006)",2
150,10,Nathalie Atkinson,Freelance,Canada,"10. His Girl Friday (Howard Hawks, 1940)",1
151,1,Nada Azhari Gillon,Freelance,Syria,"1. The Dinner Game (Francis Veber, 1998)",10
152,2,Nada Azhari Gillon,Freelance,Syria,"2. Mon oncle (Jacques Tati, 1958)",9
153,3,Nada Azhari Gillon,Freelance,Syria,"3. Life is a Long Quiet River (Étienne Chatiliez, 1988)",8
154,4,Nada Azhari Gillon,Freelance,Syria,"4. Distracted (Pierre Richard, 1970)",7
155,5,Nada Azhari Gillon,Freelance,Syria,"5. Modern Times (Charlie Chaplin, 1936)",6
156,6,Nada Azhari Gillon,Freelance,Syria,"6. Stars in Broad Daylight (Ossama Mohammed, 1988)",5
157,7,Nada Azhari Gillon,Freelance,Syria,"7. La grande vadrouille (Gérard Oury, 1966)",4
158,8,Nada Azhari Gillon,Freelance,Syria,"8. Les visiteurs (Jean-Marie Poiré, 1993)",3
159,9,Nada Azhari Gillon,Freelance,Syria,"9. Luna Papa (Bakhtyar Khudojnazarov, 1999)",2
160,10,Nada Azhari Gillon,Freelance,Syria,"10. The Lizard (Kamal Tabrizi, 2004)",1
161,1,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"1. Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Stanley Kubrick, 1964)",10
162,2,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"2. Brazil (Terry Gilliam, 1985)",9
163,3,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"3. Some Like It Hot (Billy Wilder, 1959)",8
164,4,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"4. Monty Python and the Holy Grail (Terry Gilliam and Terry Jones, 1975)",7
165,5,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"5. Modern Times (Charlie Chaplin, 1936)",6
166,6,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"6. A Night at the Opera (Sam Wood and Edmund Goulding, 1935)",5
167,7,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"7. Young Frankenstein (Mel Brooks, 1974)",4
168,8,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"8. A Fish Called Wanda (Charles Crichton and John Cleese, 1988)",3
169,9,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"9. Annie Hall (Woody Allen, 1977)",2
170,10,Ana Maria Bahiana,The Hollywood Foreign Press Association,Brazil,"10. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",1
171,1,Jason Bailey,Flavorwire,USA,"1. Blazing Saddles (Mel Brooks, 1974)",10
172,2,Jason Bailey,Flavorwire,USA,"2. Monkey Business (Norman Z McLeod, 1931)",9
173,3,Jason Bailey,Flavorwire,USA,"3. The Bank Detective (Edward F Cline, 1940)",8
174,4,Jason Bailey,Flavorwire,USA,"4. Sherlock Jr (Buster Keaton, 1924)",7
175,5,Jason Bailey,Flavorwire,USA,"5. Tootsie (Sydney Pollack, 1982)",6
176,6,Jason Bailey,Flavorwire,USA,"6. Richard Pryor: Live in Concert (Jeff Margolis, 1979)",5
177,7,Jason Bailey,Flavorwire,USA,"7. Monty Python and the Holy Grail (Terry Gilliam and Terry Jones, 1975)",4
178,8,Jason Bailey,Flavorwire,USA,"8. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",3
179,9,Jason Bailey,Flavorwire,USA,"9. This Is Spinal Tap (Rob Reiner, 1984)",2
180,10,Jason Bailey,Flavorwire,USA,"10. Raising Arizona (Joel and Ethan Coen, 1987)",1
181,1,Russell Baillie,The New Zealand Listener,New Zealand,"1. Blazing Saddles (Mel Brooks, 1974)",10
